1,common
2,runtime environment
3,shuffle behavior
4,ui
5,serialization
6,memory
7,execution behavior
8,networking
9,scheduling
10,dynamic allocation
11,security
12,TLS / SSL
13,sql
14,streaming
15,r
16,graphx
17,deploy
18,yarn
19,mesos
20,k8s
21,standalone
22,logging
23,hadoop
24,hive
25,env
